Ambient Temp (degC),Time (s),Arclength_0.0 (mm),Arclength_6.0 (mm),Arclength_12.0 (mm),Arclength_18.0 (mm),Arclength_24.0 (mm),Arclength_30.0 (mm),Arclength_36.0 (mm),Arclength_42.0 (mm),Arclength_48.0 (mm),Arclength_54.0 (mm),Arclength_60.0 (mm),Arclength_61.2271618164903 (mm),Arclength_62.4656655809871 (mm),Arclength_63.7328160075048 (mm),Arclength_65.0 (mm),Electric Potential (V)
1,3600,44.86368685174672,50.15959101423611,50.60276578027927,50.497573949276926,50.31204067430207,50.20188231604632,49.97770896054814,49.6226655059568,49.42706206283366,49.28828660086662,48.09615099935273,47.86341008017013,50.70506064518472,54.562070068602175,105.82292669566644,4.756181205990837
1,7200,31.936863576152547,35.710980050913555,36.02469955102092,35.94978512638502,35.81720671333646,35.73815250238277,35.57759159562321,35.324223376748634,35.18438123522192,35.08597996283186,34.23966018728868,34.07299726385335,36.1006568331291,38.843476062867424,75.33432528507767,3.524706465308149
1,10800,45.1531717478418,50.483103083857166,50.92919213804362,50.8233216346257,50.63660238003862,50.52574472709899,50.300143029899445,49.94280763398904,49.74593917077705,49.60625579096052,48.40641742742712,48.17222425680747,51.03209554767126,54.91401842322394,106.5060030769524,4.756145224422577
1,14400,31.93891398620422,35.71327563540692,36.02702283847941,35.95209086744905,35.81950680685286,35.74044802308387,35.57987725924609,35.32649399109376,35.186643603826056,35.08823477158852,34.24186076081064,34.07518729085972,36.10297650614059,38.84597296255046,75.33916731895661,3.5247217911263107
1,18000,45.15327039188033,50.48321594280488,50.929309587163175,50.82343305569957,50.636712461427,50.52585451011393,50.30025158555699,49.94291434842931,49.74604739116976,49.60636515535245,48.40652364888994,48.1723306062578,51.03220865982455,54.914139918137145,106.5062390563282,4.756153229516576
1,21600,31.93851757017651,35.71283280549844,36.02657671628901,35.951643444432705,35.819059386363065,35.740005269369995,35.57943829652511,35.3260554641918,35.18620704766295,35.087800193958984,34.24144114866799,34.07476815130071,36.10253107413137,38.84549375426194,75.33823602372607,3.5247320991976707
2,3600,44.41032268552552,49.66103322261077,50.10616241500668,50.00179579370704,49.81818650392649,49.70867876090023,49.48617357575928,49.12887062308011,48.933551959115015,48.79094074408306,47.61050649622575,47.385471850135296,50.203026118466,54.01834276574599,104.79500037310042,4.754340794292942
2,7200,30.690601531508943,34.3235081101075,34.62932728582609,34.557144148338395,34.4297504208203,34.35343887034972,34.19871435930989,33.95120354530059,33.815655265597975,33.717460608234816,32.90373892949666,32.747145337923044,34.6989944833726,37.33302670479884,72.42166383896836,3.5447292932540155
2,10800,44.69146165152532,49.975272764609976,50.4232736417798,50.31824963284043,50.13348775362422,50.0232928383619,49.79939713595651,49.43983808509844,49.24328519303864,49.09975960259375,47.91184476161642,47.6854328283264,50.52071115984855,54.36020602770167,105.45865989368626,4.754305333129331
2,14400,30.69286361068105,34.3260378593529,34.63188040499996,34.559692992777386,34.43229091333954,34.355975962470474,34.201238106104185,33.95370769879156,33.81815100422013,33.719947113562945,32.90616832337511,32.74956205850499,34.70155366392386,37.33578135081723,72.42700750802496,3.54473911997056
